OBJECTID,area_ac,Shape__Area,Shape__Length
1,2.47,107621.977539063,1312.28655526428
2,4.94,215243.974609375,1963.5995052364
3,341,2967292.23730469,8473.54982714459
4,202.63,5973492.04394531,14882.3310586193
5,2.47,107621.84765625,1312.28559286166
6,2.47,107621.860351563,1312.28564048619
7,2.47,107621.899414063,1312.28583647227
8,22.24,968597.096679688,3936.85758406324
9,2.47,107621.926757813,1312.28598541756
10,2.47,107621.853515625,1312.28548837077
11,14.83,645731.427734375,3936.85734951689
12,2.47,107621.950195313,1312.28599974539
13,368.19,16035666.2001953,34119.4178729865
14,9.88,430487.736328125,3275.88833196217
15,2.47,107621.928710938,1312.2858185536
16,182.86,7964021.08496094,17069.3616196877
17,2.47,107621.859375,1312.2853928367
18,2.47,107621.984375,1312.28609835694
19,2.47,107621.801757813,1312.28496932451
20,4.94,215243.887695313,1963.61245728038
21,9.88,430487.506835938,3275.89849903779
22,4.94,215243.762695313,1963.6169828672
23,2.47,107621.982421875,1312.28592425205
24,2.47,107621.913085938,1312.2854658964
25,7.41,322865.817382813,2634.20690408934
26,2.47,107621.900390625,1312.28557638348
27,2.47,107621.819335938,1312.28486532448
28,2.47,107621.94921875,1312.28568277194
29,69.19,3013412.88085938,13812.6735420283
30,79.07,3443900.85058594,9856.56677188513
31,2.47,107621.880859375,1312.28521537498
32,2.47,107621.83203125,1312.28492464296
33,51.89,2260059.72851563,8515.44436692557
34,2.47,107621.850585938,1312.28509656415
35,4.94,215243.927734375,1963.61418055147
36,667.18,29057911.4746094,40700.0954136608
37,7.41,322865.61328125,2624.57014143673
38,2.47,107621.842773438,1312.28485611904
39,2.47,107622.014648438,1312.28581385904
40,4.94,215243.854492188,1973.23678417585
41,2.47,107621.911132813,1312.28511895864
42,46.95,2044816.72949219,7231.93458203017
43,2.47,107622.01171875,1312.28569106004
44,2.47,107621.850585938,1312.28479429546
45,7.41,322865.630859375,2624.57015905999
46,2.47,107621.942382813,1312.28553003268
47,2.47,107621.943359375,1312.28516487953
48,12.36,538109.739257813,3285.49793156628
49,84.02,3659144.83105469,13151.7811030819
50,321.24,13990844.4560547,21667.1733839696
51,9.88,430487.58203125,3285.53230992902
52,113.67,4950605.65722656,11139.9547505106
53,4.94,215243.9140625,1973.24776870466
54,2.47,107622.0234375,1312.2857955428
55,259.46,11300297.9667969,27509.8067095737
56,46.95,2044815.16210938,6551.7792137072
57,2.47,107621.879882813,1312.28491831225
58,2.47,107621.849609375,1312.28476307937
59,7.41,322865.50390625,2624.56962579636
60,56.83,2475303.2265625,8544.27762458914
61,2.47,107621.892578125,1312.28498747172
62,61.78,2690547.60351563,7883.35102144942
63,657.3,28627422.2597656,24933.4191982686
64,103.78,4520119.55566406,14425.5196896421
65,2.47,107621.860351563,1312.28475667604
66,1551.82,67586548.0244141,77415.1961301234
67,163.09,7103044.38867188,15086.4593548647
68,2.47,107621.969726563,1312.28605273909
69,32.12,1399084.56933594,6561.42504946174
70,2.47,107621.9609375,1312.28594937954
71,2.47,107621.983398438,1312.28606528803
72,12.36,538109.504882813,3275.88751250004
73,2.47,107621.829101563,1312.28467943448
74,4.94,215244.16796875,1963.6592102817
75,2.47,107622.094726563,1312.28566223025
76,126.02,5488717.84277344,15747.4177233455
77,170.5,7425909.50390625,15086.4434766838
78,2.47,59.25,52.018472827704
79,22.24,253175.592773438,2211.43277395045
80,2.47,107622.028320313,1312.28640471905
81,2.47,107622.048828125,1312.28531971613
82,9.88,430487.923828125,3275.84527576324
83,4.94,215243.739257813,1973.29721248365
84,2.47,107621.950195313,1312.28575855735
85,46.95,2044815.06835938,7231.99559137225
86,71.66,3121035.26660156,13142.1049069266
