GEO_ID,FIPS,NAME,DP05_0068E,DP05_0069E,DP05_0070E,DP05_0071E,DP05_0072E,DP05_0073E,DP05_0074E,DP05_0076E,DP05_0081E,DP05_0069PE,DP05_0070PE,DP05_0071PE,DP05_0072PE,DP05_0073PE,DP05_0074PE,DP05_0076PE,DP05_0082PE,Percent Nonwhite
1400000U,06037101110,Census Tract 1011.10; Los Angeles County; California,4152,3106,191,175,340,5,1188,1427,2725,74.8,4.6,4.2,8.2,0.1,28.6,34.4,53,47
1400000U,06037101122,Census Tract 1011.22; Los Angeles County; California,4198,3304,67,87,589,24,444,413,3785,78.7,1.6,2.1,14,0.6,10.6,9.8,72.3,27.7
1400000U,06037101220,Census Tract 1012.20; Los Angeles County; California,3434,2330,26,102,499,0,1103,1312,2122,67.9,0.8,3,14.5,0,32.1,38.2,44.2,55.8
1400000U,06037101221,Census Tract 1012.21; Los Angeles County; California,3931,2438,293,84,500,0,1376,1428,2503,62,7.5,2.1,12.7,0,35,36.3,43.9,56.1
1400000U,06037101222,Census Tract 1012.22; Los Angeles County; California,2572,2310,72,150,69,25,936,1274,1298,89.8,2.8,5.8,2.7,1,36.4,49.5,46,54
1400000U,06037101300,Census Tract 1013; Los Angeles County; California,4210,3618,73,28,353,0,657,657,3553,85.9,1.7,0.7,8.4,0,15.6,15.6,72,28
1400000U,06037101400,Census Tract 1014; Los Angeles County; California,3489,2970,58,169,446,0,584,740,2749,85.1,1.7,4.8,12.8,0,16.7,21.2,63,37
1400000U,06037102103,Census Tract 1021.03; Los Angeles County; California,2054,1730,51,13,260,0,49,102,1952,84.2,2.5,0.6,12.7,0,2.4,5,79.1,20.9
1400000U,06037102104,Census Tract 1021.04; Los Angeles County; California,4052,3389,138,96,623,12,326,532,3520,83.6,3.4,2.4,15.4,0.3,8,13.1,69.6,30.4
1400000U,06037102105,Census Tract 1021.05; Los Angeles County; California,1664,1027,73,17,203,7,937,1096,568,61.7,4.4,1,12.2,0.4,56.3,65.9,18,82
1400000U,06037102107,Census Tract 1021.07; Los Angeles County; California,3595,3088,61,36,421,0,375,606,2989,85.9,1.7,1,11.7,0,10.4,16.9,71,29
1400000U,06037103101,Census Tract 1031.01; Los Angeles County; California,2705,2366,140,55,219,0,403,586,2119,87.5,5.2,2,8.1,0,14.9,21.7,64.9,35.1
1400000U,06037103102,Census Tract 1031.02; Los Angeles County; California,4468,3638,38,89,372,0,728,1039,3429,81.4,0.9,2,8.3,0,16.3,23.3,65.1,34.9
1400000U,06037103201,Census Tract 1032.01; Los Angeles County; California,4425,3421,144,519,326,11,1341,1673,2752,77.3,3.3,11.7,7.4,0.2,30.3,37.8,51.3,48.7
1400000U,06037103202,Census Tract 1032.02; Los Angeles County; California,1945,1203,46,0,64,0,725,401,1544,61.9,2.4,0,3.3,0,37.3,20.6,53,47
1400000U,06037103300,Census Tract 1033; Los Angeles County; California,4021,3672,230,101,338,84,401,492,3529,91.3,5.7,2.5,8.4,2.1,10,12.2,72.6,27.4
1400000U,06037103401,Census Tract 1034.01; Los Angeles County; California,2552,2053,4,25,531,0,286,308,2244,80.4,0.2,1,20.8,0,11.2,12.1,66.6,33.4
1400000U,06037103402,Census Tract 1034.02; Los Angeles County; California,3809,2700,483,48,383,0,620,582,3227,70.9,12.7,1.3,10.1,0,16.3,15.3,59.1,40.9
1400000U,06037104103,Census Tract 1041.03; Los Angeles County; California,4257,2454,641,116,306,0,2392,3023,1234,57.6,15.1,2.7,7.2,0,56.2,71,6.3,93.7
1400000U,06037104105,Census Tract 1041.05; Los Angeles County; California,5890,3053,298,41,286,575,3651,4686,1204,51.8,5.1,0.7,4.9,9.8,62,79.6,3.7,96.3
1400000U,06037104108,Census Tract 1041.08; Los Angeles County; California,4952,2919,440,100,269,0,2939,4124,828,58.9,8.9,2,5.4,0,59.3,83.3,1.2,98.8
1400000U,06037104124,Census Tract 1041.24; Los Angeles County; California,4090,2762,490,186,199,53,1399,1988,2102,67.5,12,4.5,4.9,1.3,34.2,48.6,34.7,65.3
1400000U,06037104201,Census Tract 1042.01; Los Angeles County; California,4325,2104,456,103,165,0,3090,3660,665,48.6,10.5,2.4,3.8,0,71.4,84.6,0.5,99.5
1400000U,06037104203,Census Tract 1042.03; Los Angeles County; California,4978,2865,247,37,68,0,3498,4625,353,57.6,5,0.7,1.4,0,70.3,92.9,0.7,99.3
1400000U,06037104204,Census Tract 1042.04; Los Angeles County; California,3736,2210,168,60,217,26,2288,2932,804,59.2,4.5,1.6,5.8,0.7,61.2,78.5,11.3,88.7
1400000U,06037104310,Census Tract 1043.10; Los Angeles County; California,4476,1883,66,150,15,0,3543,4251,225,42.1,1.5,3.4,0.3,0,79.2,95,1.3,98.7
1400000U,06037104321,Census Tract 1043.21; Los Angeles County; California,2926,1483,54,268,18,0,2313,2795,131,50.7,1.8,9.2,0.6,0,79,95.5,0.4,99.6
1400000U,06037104322,Census Tract 1043.22; Los Angeles County; California,1856,960,14,17,68,29,1286,1685,171,51.7,0.8,0.9,3.7,1.6,69.3,90.8,4.4,95.6
1400000U,06037104401,Census Tract 1044.01; Los Angeles County; California,3083,1594,50,41,0,6,2350,2966,117,51.7,1.6,1.3,0,0.2,76.2,96.2,2.9,97.1
1400000U,06037104403,Census Tract 1044.03; Los Angeles County; California,2292,939,0,77,144,0,1655,2169,123,41,0,3.4,6.3,0,72.2,94.6,1.5,98.5
1400000U,06037104404,Census Tract 1044.04; Los Angeles County; California,3374,1840,0,26,20,0,2602,3307,67,54.5,0,0.8,0.6,0,77.1,98,1.4,98.6
1400000U,06037104500,Census Tract 1045; Los Angeles County; California,3539,2106,5,162,45,0,2984,3444,95,59.5,0.1,4.6,1.3,0,84.3,97.3,1.7,98.3
1400000U,06037104610,Census Tract 1046.10; Los Angeles County; California,3124,1351,23,103,10,0,2547,3024,100,43.2,0.7,3.3,0.3,0,81.5,96.8,2.1,97.9
1400000U,06037104620,Census Tract 1046.20; Los Angeles County; California,3266,1999,13,60,18,0,2343,3106,160,61.2,0.4,1.8,0.6,0,71.7,95.1,4.5,95.5
1400000U,06037104701,Census Tract 1047.01; Los Angeles County; California,3916,2322,123,146,9,14,2727,3851,65,59.3,3.1,3.7,0.2,0.4,69.6,98.3,0.3,99.7
1400000U,06037104703,Census Tract 1047.03; Los Angeles County; California,2306,1592,181,33,60,0,1495,1874,432,69,7.8,1.4,2.6,0,64.8,81.3,8.8,91.2
1400000U,06037104704,Census Tract 1047.04; Los Angeles County; California,4662,2801,317,40,133,0,3169,3809,853,60.1,6.8,0.9,2.9,0,68,81.7,7.5,92.5
1400000U,06037104821,Census Tract 1048.21; Los Angeles County; California,3476,2072,0,45,58,0,2620,3249,227,59.6,0,1.3,1.7,0,75.4,93.5,4.3,95.7
1400000U,06037104822,Census Tract 1048.22; Los Angeles County; California,2199,1213,10,69,125,0,1633,2034,165,55.2,0.5,3.1,5.7,0,74.3,92.5,1.5,98.5
1400000U,06037104823,Census Tract 1048.23; Los Angeles County; California,3195,1918,169,54,373,0,2310,2639,556,60,5.3,1.7,11.7,0,72.3,82.6,1.4,98.6
1400000U,06037104824,Census Tract 1048.24; Los Angeles County; California,2582,1268,14,77,0,17,2156,2535,47,49.1,0.5,3,0,0.7,83.5,98.2,0.4,99.6
