id,observed_on,time_observed_at,user_name,quality_grade,license,url,image_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,taxon_geoprivacy,positioning_method,positioning_device,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
12691,2011-03-06,,"",research,,http://www.inaturalist.org/observations/12691,https://inaturalist-open-data.s3.amazonaws.com/photos/24979/medium.jpg,"",These are wild parrots that live in Malibu. There were so many and they were so loud!,4,1,false,"Malibu Creek State Park, Malibu, CA",34.0997513994,-118.7250423431,,,open,,,,Los Angeles,Nanday Parakeet,Aratinga nenday,Nanday Parakeet,Aves,367562
325235,2013-03-09,2013-03-10 00:00:00 UTC,"Richard Smart (he, him)",research,CC-BY,http://www.inaturalist.org/observations/325235,https://inaturalist-open-data.s3.amazonaws.com/photos/404889/medium.JPG,"",These parrots were seen and photographed by Jennifer O'Donnell. Seen in Culver City/Mar Vista.,2,0,false,Culver City/Mar Vista,34.017992,-118.419812,,,open,,,,Los Angeles,Mitred Parakeet,Psittacara mitratus,Mitred Parakeet,Aves,367571
366436,2013-08-15,,Jared,research,CC-BY-NC,http://www.inaturalist.org/observations/366436,https://inaturalist-open-data.s3.amazonaws.com/photos/457553/medium.JPG,"",Some of the invasive parrots that I've encountered in several locations of the Santa Monica Park area.,2,0,false,Solstice Canyon,34.037202,-118.745742,1639,1639,open,,,,Los Angeles,Nanday Parakeet,Aratinga nenday,Nanday Parakeet,Aves,367562
393890,2013-03-09,2013-03-10 00:00:00 UTC,NHMLA Community Science Program,research,CC-BY-NC,http://www.inaturalist.org/observations/393890,https://inaturalist-open-data.s3.amazonaws.com/photos/492976/medium.JPG,"email, nature@nhm.org",These parrots were seen and photographed by Jennifer O'Donnell. Seen in Culver City/Mar Vista. She submitted them to the L.A. Nature Map by emailing nature@nhm.org.,2,0,false,Culver City/Mar Vista,34.017992,-118.419812,3170,3170,open,,,,Los Angeles,Mitred Parakeet,Psittacara mitratus,Mitred Parakeet,Aves,367571
448366,2013-04-22,,NHMLA Community Science Program,research,CC-BY-NC,http://www.inaturalist.org/observations/448366,https://inaturalist-open-data.s3.amazonaws.com/photos/565292/medium.jpg,"email, rascals@nhm.org","These parrots were in our backyard. They kept coming to eat our oranges for roughly one week this year. - Superfran

This observation and photo were taken by Superfran and sent to nature@nhm.org.

",3,0,false,"Sunrise Drive, Whittier, CA 90602",33.969073,-118.0261,462,462,open,,,,Los Angeles,Red-lored Parrot,Amazona autumnalis,Red-lored Amazon,Aves,18990
451440,2013-09-06,2013-09-06 15:27:00 UTC,NHMLA Community Science Program,research,CC-BY-NC,http://www.inaturalist.org/observations/451440,https://inaturalist-open-data.s3.amazonaws.com/photos/569287/medium.jpg,"email, nature@nhm.org","Lisa Belsanti observed parrots in her backyard in Jefferson Park, and submitted a photo to the nature@nhm.org email account.

Lisa said they have a flock of over 30 in her neighborhood that have been around for the past 10 years.
",4,1,false,"4073 w 29th street, 90018",34.029687,-118.333194,194,194,open,,,,Los Angeles,Psittacara,Psittacara,Psittacara Parakeets,Aves,367567
466198,2013-11-23,,Tatiana Zavala,research,CC-BY-NC,http://www.inaturalist.org/observations/466198,,"parrots, Amazona viridigenalis, Pasadena",Observed in the skies over East Pasasdena. (I wish INaturalist accepted video file uploads.),1,0,false,"Los Angeles County, US-CA, US",34.1500700349,-118.0253785993,656,28874,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
512785,2014-01-24,,,research,CC-BY-NC,http://www.inaturalist.org/observations/512785,https://inaturalist-open-data.s3.amazonaws.com/photos/652786/medium.jpg,"Brazilian parrots, South Pasadena","Saw these parrots that are common to South Pasadena (which is a separate city from Pasadena!) in the Brazilian pepper trees that line El Centro Street in South Pasadena. They are unusual in that they have a white ring around each eye - when I looked at dozens of pictures of parrot species, I could not find this particular parrot. It is reported that there are 26 varieties of parrots living in the Pasadena area, but they continue to go farther afield - I saw a flock of wild parrots in the parking lot at the Gene Autry Museum last summer. Couldn't change the date - I saw these parrots in March, 2013.",3,0,false,"Los Angeles County, US-CA, US",34.0989183402,-118.1569051935,,28874,obscured,,,,Los Angeles,Red-masked Parakeet,Psittacara erythrogenys,Red-masked Parakeet,Aves,367572
536804,2014-01-01,,"",research,CC-BY-NC,http://www.inaturalist.org/observations/536804,https://inaturalist-open-data.s3.amazonaws.com/photos/682683/medium.JPG,"","",2,0,false,"Los Angeles County, US-CA, US",34.061172634,-118.0503441701,199,28874,obscured,,,,Los Angeles,Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,Aves,18976
653243,2014-04-11,,,research,CC-BY-NC,http://www.inaturalist.org/observations/653243,https://inaturalist-open-data.s3.amazonaws.com/photos/824259/medium.jpg,"","I found the parrot at 6:38 p.m.
There are many of these parrots flying around here around this time. ",3,0,false,"Los Angeles County, US-CA, US",34.0430925984,-118.1316975162,4,28874,obscured,,,,Los Angeles,Amazon Parrots,Amazona,Amazon Parrots,Aves,18975
